"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Lux, Gavin","666158","123","9.6",39,"106.4","89.3","98.5","90.8","87.6","397","159","397","52",42.3,"5",4.1,2.6
"Scott II, Victor","687363","123","13.3",37.4,"106.6","86.8","97.1","89.5","84.3","396","164","396","36",29.3,"5",4.1,2.6
"Burleson, Alec","676475","123","16.8",28.5,"110.4","91.6","101.1","93.8","91.4","435","163","418","55",44.7,"7",5.7,4.5
"Edman, Tommy","669242","122","15.8",39.3,"108.6","88.6","100","91.6","87.9","423","176","403","51",41.8,"10",8.2,6.3
"Moreno, Gabriel","672515","122","11.1",33.6,"108.3","92.1","100.1","94.4","90.6","411","159","389","58",47.5,"6",4.9,3.7
"Robert Jr., Luis","673357","121","19.3",33.9,"115.8","90.2","102.1","94.3","88.6","415","174","387","56",46.3,"15",12.4,7.2
"Jeffers, Ryan","680777","121","16.3",36.4,"110.4","90.3","101.3","95.2","85.2","420","191","413","55",45.5,"11",9.1,6.2
"Wells, Austin","669224","121","21.2",33.9,"111","91.2","102.1","94.2","89.4","412","191","373","58",47.9,"14",11.6,7.7
"Springer, George","543807","121","16.6",38.8,"112.3","91.6","102","96.3","86.8","426","182","403","61",50.4,"23",19,11.3
"Lee, Brooks","686797","121","16.4",32.2,"106.7","89.2","98.2","91.4","87.2","401","171","388","45",37.2,"10",8.3,6.5
"Manzardo, Kyle","700932","120","22.3",34.2,"109.6","90.3","100.7","96","82.2","424","203","394","55",45.8,"16",13.3,8
"Muncy, Max","571970","120","19",35,"110.5","90.4","101.5","95.1","83","433","187","410","61",50.8,"13",10.8,6.3
"Burger, Jake","669394","120","16.9",29.2,"114.7","91.3","104.1","95.9","87.9","429","179","398","61",50.8,"18",15,10.3
"Grisham, Trent","663757","120","17.8",35,"109.8","91.4","100.6","95.8","85.4","415","190","388","53",44.2,"19",15.8,10.5
"Martínez, Angel","682657","118","13.4",27.1,"107.4","88.2","98","90.8","88.1","394","148","377","39",33.1,"3",2.5,2
"Báez, Javier","595879","118","9.3",31.4,"108.4","87.9","99.6","91.3","85.2","421","156","387","47",39.8,"8",6.8,4.8
"Verdugo, Alex","657077","116","10.3",32.8,"107.7","90","100.3","91.1","90.6","404","155",,"52",44.8,"4",3.4,2.8
"Farmer, Kyle","571657","116","13.8",38.8,"105.8","86","97.6","92.6","81.3","392","158","392","39",33.6,"6",5.2,3.9
"Taylor, Tyrone","621438","116","18.8",44.8,"109.5","85.7","98.2","90","84.2","397","165","397","45",38.8,"6",5.2,3.7
"Durbin, Caleb","702332","115","16.6",27.8,"103.5","84.1","95","88.5","82.4","375","158","375","26",22.6,"3",2.6,2.1
"Beck, Jordan","687597","115","15.2",41.7,"110.8","89.1","100.7","95.2","80.7","437","187","414","48",41.7,"18",15.7,9.8
"Isbel, Kyle","664728","115","14.8",25.2,"108.4","86.3","98.7","90.8","89.3","401","128","392","36",31.3,"3",2.6,2.1
"Smith, Will","669257","115","20.7",44.3,"109.8","91.6","101.1","93.7","88.9","419","203","395","55",47.8,"15",13,8.4
"McLain, Matt","680574","115","15.5",38.3,"109.9","89.8","100.4","94.6","82.6","414","196","399","54",47,"11",9.6,5.4
"Heim, Jonah","641680","113","15.6",32.7,"109.6","89.4","98.9","92.6","89.5","417","167","384","42",37.2,"8",7.1,5
"Dingler, Dillon","693307","113","14.6",40.7,"110.7","90","101.5","94.3","85.1","410","179","398","53",46.9,"10",8.8,6.2
"Cruz, Oneil","665833","112","10.3",35.7,"122.9","97.1","108.9","101.6","92.7","463","183","408","68",60.7,"27",24.1,12.6
"O'Hoppe, Logan","681351","111","19.6",36.9,"111.1","91.4","102.3","96.5","85.8","470","203","404","58",52.3,"21",18.9,11.4
"Allen, Nick","669397","111","11.8",30.6,"104.4","85.4","95.3","87.1","85.9","382","131",,"27",24.3,"0",0,0
